id;Título;Ano;Autores;Nacionalidade do 1º autor;Instituição do 1º autor;Estado da Instituição;Revista;Fator de impacto;freq;Qualis da revista;Palavras chave;Local do estudo (coordenada ou/e subregião);Fitofisionomia (s);Grupo taxonomico;Utilizou fogo experimental;Utilizou histórico de incêndio ;Avaliou um unico evento de incêndio;Apenas citou o fogo;Forma de obtenção dos dados;Principais conclusões;Observações;;;;;;;
26;Active Fire Mapping on Brazilian Pantanal Based on Deep Learning and CBERS 04A Imagery;2022;"Higa, Leandro; Marcato Junior, Jose; Rodrigues, Thiago; Zamboni, Pedro; Silva, Rodrigo; Almeida, Laisa; Liesenberg, Veraldo; Roque, Fabio; Libonati, Renata; Goncalves, Wesley Nunes; Silva, Jonathan";Brasileira;UFMS;MS;REMOTE SENSING;5.349;1;B2;"remote sensing; wildfire; object detection; convolutional neural network";Pantanal;-;-;não;não;não;não;Sensoriamento remoto;Our findings indicate that accurate results were achieved, even considering recent images from 2021, showing the generalization capability of our models to complement other researches and wildfire databases such as the current program Queimadas in detecting active fire in this complex environment. The approach may be extended and evaluated in other environmental conditions worldwide where active fire detection is still a required information in fire fighting and rescue initiatives;;;;;;;;
27;Assessing the role of compound drought and heatwave events on unprecedented 2020 wildfires in the Pantanal;2022;"Libonati, Renata; Geirinhas, Joao L.; Silva, Patricia S.; Russo, Ana; Rodrigues, Julia A.; Belem, Liz B. C.; Nogueira, Joana; Roque, Fabio O.; DaCamara, Carlos C.; Nunes, Ana M. B.; Marengo, Jose A.; Trigo, Ricardo M.";Brasileira;UFRJ;RJ;ENVIRONMENTAL RESEARCH LETTERS;6.947;1;B1;"Pantanal; Brazil; compound events; droughts; heatwaves; climate extremes; wildfires";Pantanal;-;-;não;não;sim;não;Sensoriamento remoto;The short span of the period during those compound drought-heatwave (CDHW) events accounted for 55% of the burned area of 2020. The vulnerability in the northern forested areas was higher than in the other areas, revealing a synergistic effect between fuel availability and weather-hydrological conditions. Accordingly, where fuel is not a limiting factor, fire activity tends to be more modelled by CDHW events. Our work advances beyond an isolated event-level basis towards a compound and cascading natural hazards approach, simultaneously estimating the contribution of drought and heatwaves to fuelling extreme fire outbreaks in the Pantanal such as those in 2020;;;;;;;;
33;The Pantanal is on fire and only a sustainable agenda can save the largest wetland in the world;2022;"Berlinck, C. N.; Lima, L. H. A.; Pereira, A. M. M.; Carvalho Jr, E. A. R.; Paula, R. C.; Thomas, W. M.; Morato, R. G.";Brasileira;ICMBio;MT;Brazilian Journal of Biology;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;B3;;Pantanal;;;não;não;sim;não;Opinião;nota de opinião;;;;;;;;
37;Bird dependence on wetlands determines functional responses to flood pulse in the Brazilian Pantanal;2022;"Frota, Angelica Vilas Boas; Vitorino, Breno Dias; Almeida, Sara Miranda; da Silva Nunes, Josue Ribeiro; da Silva, Carolina Joana";Brasileira;UNEMAT;MT;ORNITHOLOGY RESEARCH;0,385;1;;"Floodplain; Functional diversity; Hydrological regimes; Seasonality; Waterbirds";"16°48?S, 57°24?W ;16°58?S ,57°40?W (Taimã)";várias;aves;não;não;não;sim;coleta de campo;Coloca o fogo como um elemento da paisagem;;;;;;;;
55;Compound impact of land use and extreme climate on the 2020 fire record of the Brazilian Pantanal;2022;"Ferreira Barbosa, Maria Lucia; Haddad, Isadora; da Silva Nascimento, Ana Lucia; Maximo da Silva, Gabriel; Moura da Veiga, Renata; Hoffmann, Tania Beatriz; Rosane de Souza, Anielli; Dalagnol, Ricardo; Susin Streher, Annia; Souza Pereira, Francisca R.; Cruz de Aragao, Luiz Eduardo; Oighenstein Anderson, Liana";Brasileira;INPE;SP;GLOBAL ECOLOGY AND BIOGEOGRAPHY;6.909;1;;"extreme weather; fires; land use; Pantanal; carbon loss";Pantanal;-;-;não;sim;não;não;Sensoriamento remoto;The unprecedented fires in 2020 were not only a result of atypical climate, but also a consequence of the intensification of fire-related human activities. Rural properties play a major role in Pantanal fires, requiring law enforcement and a consistent plan for increasing the protection of the conservation areas. We argue that ineffective fire prevention and the lack of suppression strategies were also key in enhancing the magnitude of these fires.;;;;;;;;
57;A compound event-oriented framework to tropical fire risk assessment in a changing climate;2022;"Ribeiro, Andreia F. S.; Brando, Paulo M.; Santos, Lucas; Rattis, Ludmila; Hirschi, Martin; Hauser, Mathias; Seneviratne, Sonia, I; Zscheischler, Jakob";Brasileira;ETH Zurich;Zurich;Environmental Research Letters;6.947;1;;"fire risks; compound events; global warming; Xingu; Pantanal";Pantanal;-;-;não;sim;não;não;Sensoriamento remoto;We show that concurrent air dryness (high vapour-pressure deficit (VPD)) and low precipitation have driven fire occurrence in both Xingu and the Pantanal, with VPD playing a dominant role. Historical climatic change has already increased compound event-related (CE-related) fire risks of all fire types (5%–10%), and these risks are likely to increase in the future due to global warming. The likelihood of CE-related increase in fire risk may be reduced by up to 14.4% if global warming is constrained to +1.5 ?C instead of +3 ?C. Nevertheless, substantially increased CE-related fire risks are still expected even if restricting global mean warming to 1.5 ?C, particularly in the Pantanal. We thus conclude that climate action should be coordinated with environmental protection to reduce ignition sources and promote effective conservation measures to preserve these biomes.;avaliou o risco de incêndios;;;;;;;
58;Evapotranspiration Seasonality over Tropical Ecosystems in Mato Grosso, Brazil;2022;"Biudes, Marcelo Sacardi; Geli, Hatim M. E.; Vourlitis, George Louis; Machado, Nadja Gomes; Pavao, Vagner Marques; Fabricio dos Santos, Luiz Octavio; Santos Querino, Carlos Alexandre";Brasileira;UFMT;MT;REMOTE SENSING;5.349;1;;"MOD16 ET; precipitation; EVI; Amazon; savanna hyper-seasonal; Pantanal";Pantanal de mato grosso;vários;-;não;não;não;sim;coleta de campo;The spatial variation of ET had some similarity to the climatology of Mato Grosso, with higher ET in the mid to southern parts of Mato Grosso (Cerrado and Pantanal) during the wet period compared to the dry period. The ET in the Amazon had three seasonal patterns, a higher and lower ET in the wet season compared to the dry season, and minimal to insignificant variation in ET during the wet and dry seasons. The wet season ET in Amazon decreased from the first and second decades, but the ET during the wet and dry season increased in Cerrado and Pantanal in the same period. This study highlights the importance of deepening the study of ET in the state of Mato Grosso due to the land cover and climate change.;fez em vários biomas;;;;;;;
59;Modeling of the air temperature using the Extreme Value Theory for selected biomes in Mato Grosso do Sul (Brazil);2022;"dos Reis, Carlos Jose; Souza, Amaury; Graf, Renata; Kossowski, Tomasz M.; Abreu, Marcel Carvalho; de Oliveira-Junior, Jose Francisco; Fernandes, Widinei Alves";Brasileira;UFLA;MG;STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT;3.821;1;;"Air temperature;Extreme Value Theory;Climate change;Probability distribution;Biomes;Brazil";Pantanal;-;-;não;não;não;sim;Sensoriamento remodo/base de dados;Deforestation, combustion and extensive fires, and therelated aerosol emissions contribute, alongside climate change, to the generation of extreme air temperatures in the studiedbiomes.;;;;;;;;
60;Variation of Ozone in the Pantanal Environment Based on Probability Distributions;2022;"de Souza, Amaury; Francisco Junior, Jose; Abreu, Marcel Carvalho; Aristone, Flavio; Fernandes, Widinei Alves; Casaes Nunes, Raquel Soares; Cavazzana, Guilherme Henrique; Dos Santos, Cicero Manoel; Reis, Carlos Jose; Dumka, Umesh";Brasileira;UFMS;MS;OZONE-SCIENCE & ENGINEERING;2.604;1;;"Probability function;ozone;climate change;wetland;pollution;health";Pantanal;-;-;não;não;não;sim;Sensoriamento remoto;In most months investigated, the Pantanal follows the GUM and GEV probability distributions. In addition, monthly means of O3 and standard deviations were calculated. It is worth mentioning the variability of O3 and the impact on climate change.;;;;;;;;
61;Spatial-Temporal Variability of the Ozone Column over the Brazilian Midwest from Satellite Data from 2005 to 2020;2022;"de Souza, Amaury; de Oliveira-Junior, Jose Francisco; Abreu, Marcel Carvalho; Cavazzana, Guilherme Henrique";Brasileira;UFMS;MS;WATER AIR AND SOIL POLLUTION;2.984;1;;"Total ozone column; Ozone temporal and spatial variation; OMI; AUREA; Time series";Pantanal;-;-;não;sim;não;não;sensoriamanto remoto;The monthly average values of TOC show maximum values in September and minimum values in June in all seasons. Monthly spatial behavior (TOC) is greater in the south/southwest (S/SW) and SW of MS than in the central and northern (N) parts.;estudou várias cidades de mato Grosso do sul, nos diferentes biomas.;;;;;;;
83;Human risk assessment of ash soil after 2020 wildfires in Pantanal biome (Brazil);2022;"Caumo, S; Lazaro, WL; Oliveira, ES; Beringui, K; Gioda, A; Massone, CG; Carreira, R; De Freitas, DS; Ignacio, ARA; Hacon, S";brasileira;FIOCRUZ;RJ;Air Quality, Atmosphere & Health;3.763;1;;Wildfire · Pantanal · Trace elements · Polycyclic aromatic hydrocarbons · Risk assessment;at https:// doi. org/ 10. 1007/ s11869- 022- 01248-2.;-;-;não;não;sim;não;amostras de solo;The carcinogenic risks exceeded reference values, for both TE and PAH, suggesting harmful conditions, especially for vulnerable groups, such as children and the elderly.;;;;;;;;
84;Brazil has experienced unprecedented wildfires in the last decade. Images of immense burnt areas or dead animals that failed to escape the 2020 wildfires have shocked the world. To prevent or minimize further similar disasters we must understand the factors that have led to these catastrophic events. The causes and consequences of wildfires entail complex interactions between the biophysical and sociocultural spheres, and suitable management decisions require a sound scientific base. We present the recent panorama of increasing fire outbreaks in the Brazilian biomes, and discuss the causes that have contributed to such fires, their impacts on the environment and overall consequences for human well-being, based on reviewing the extensive specialist literature, on authors' expert knowledge and information provided by environmental managers, researchers and politicians during a workshop organized to debate the wildfire issue in Brazil. Our up-to-date review is aimed at the academic public, environmental managers and decision-and policy-makers. First, we present evidence on the contrasting effects of fire on different ecosystems. Second, we outline the historic perceptions and policies related to fire use and management in Brazil since its colonization to the present date. Third, we propose means to advance fire prevention and develop successful management strategies. Finally, we answer frequently asked questions to clarify and/or demystify some fire-related issues not always properly addressed in the media.;2021;"Pivello, VR; Vieira, I; Christianini, AV; Ribeiro, DB; Menezes, LD; Berlinck, CN; Melo, FPL; Marengo, JA; Tornquist, CG; Tomas, WM; Overbeck, GE";Brasileira;USP;AP;Perspectives in Ecology and Conservation;5.652;1;;Fire ecology, Fire-dependent ecosystems, Fire-sensitive ecosystems, Fire management, Fire research gaps, Wildfires;biomas;biomas;-;não;sim;não;não;opinião;To effectively reduce fires and their negative effects, Brazil needs a long-term commitment with conservation and sustainable development that considers the distinct ecological, socio-economic and cultural realities across the country.;;;;;;;;
85;Wildfire Incidence throughout the Brazilian Pantanal Is Driven by Local Climate Rather Than Bovine Stocking Density;2022;"Teodoro, Paulo Eduardo; Maria, Luciano de Souza; Almeida Rodrigues, Jessica Marciella; e Silva, Adriana de Avila; Metzdorf da Silva, Maiara Cristina; de Souza, Samara Santos; Rossi, Fernando Saragosa; Ribeiro Teodoro, Larissa Pereira; Della-Silva, Joao Lucas; Delgado, Rafael Coll; Lima, Mendelson; Peres, Carlos A.; da Silva Junior, Carlos Antonio";Brasileira;UFMS;MS;SUSTAINABILITY;3.889;1;;"biome; biomass; gross primary production; Standardized Precipitation Index";bioma;bioma;-;não;sim;não;não;sensoriamento remoto e dados secundários;Gross primary productivity further invalidated the “cattle herbivory” hypothesis because GPP was found to be strongly correlated with cattle density but not with the spatial distribution of fires. Fires throughout the Pantanal are currently aggravated by the presence of livestock and result from a combination of extreme weather events and outdated agricultural practices.;;;;;;;;
86;Heatwaves and fire in Pantanal: Historical and future perspectives from CORDEX-CORE;2022;"Silva, Patricia S.; Geirinhas, Joao L.; Lapere, Remy; Laura, Wil; Cassain, Domingo; Alegria, Andres; Campbell, Jayaka";Portuguesa;Instituto Dom Luis;Portugal;JOURNAL OF ENVIRONMENTAL MANAGEMENT;6.789;1;;"Pantanal; Burned area; Heatwaves; CORDEX-CORE; RCP; Fire";bioma;bioma;-;não;sim;não;não;sensoriamento remoto e dados secundários;Accordingly, favorable conditions for fire spread and consequent large burned areas are expected to occur more often in the future, posing a dramatic short-term threat to the ecosystem if no preservation action is undertaken posing a dramatic short-term threat to the ecosystem if no preservation action is undertaken;;;;;;;;
87;2020 Pantanal's widespread fire: short- and long-term implications for biodiversity and conservation;2021;"Mataveli, Guilherme A. V.; Pereira, Gabriel; de Oliveira, Gabriel; Seixas, Hugo T.; Cardozo, Francielle da S.; Shimabukuro, Yosio E.; Kawakubo, Fernando S.; Brunsell, Nathaniel A.";Brasileira;INPE;SP;BIODIVERSITY AND CONSERVATION;3.549;1;;"Wetlands; Drought; Burning; Biodiversity Threat; Conservation";bioma;bioma;-;não;sim;não;não;sensoriamento remoto e dados secundários;Approximately 95 % of these active fires occurred in natural land covers with 28 % of them occurring in areas classified as wetlands that likely dried out due to the drought. Therefore, the development of a special policy is needed to minimize the impact of this crisis on the biodiversity, conservation, and traditional people of the Pantanal.;;;;;;;;
88;Temporal and spatial patterns of fire activity in three biomes of Brazil;2022;"Abreu, Marcel Carvalho; Lyra, Gustavo Bastos; de Oliveira-Junior, Jose Francisco; Souza, Amaury; Pobocikova, Ivana; de Souza Fraga, Micael; Abreu, Rodolfo Cesar Real";Brasileira;UFRRJ;RJ;SCIENCE OF THE TOTAL ENVIRONMENT;10.753;1;;"Environmental satellites; Probabilistic density functions; Pantanal; Atlantic Forest; Cerrado; Land use and land cover";Biomas;biomas;-;não;sim;não;não;sensoriamento remoto e dados secundários;There was a strong correlation between fire and agricultural areas, with increasing trends pointing to land conversion to agricultural areas in all biomes. The high probability of fire indicates that expanding agricultural areas through the conversion of natural biomes impacts several natural ecosystems, transforming land cover and land use. This land conversion is promoting more fires each year.;;;;;;;;
89;TOURISM IN PANTANAL / MS: BETWEEN THE PANDEMIC OF COVID-19 AND THE BUSHFIRES;2021;"Ribeiro, Mara Aline; Goncalves, Karoline Batista; de Oliveira, Joyce Avila";Brasileira;UFMS;MS;GEO UERJ;;1;A1;"Pantanal; Pandemic; COVID-19; Tourism; Bushfire";Bioma;-;-;não;não;sim;não;aplicação de entrevistas e dados secundários;Tanto a pandemia quanto as queimadas contribuíram para a diminuição do turismo no Pantanal, o qual, após a adoção de medidas de biossegurança definidas pela OMS, apresenta uma movimentação lenta e gradual a partir de pequenos deslocamentos, ou seja, um crescimento do turismo local, considerando que os/as empresários/as e trabalhadores/as do turismo estão se organizando para a retomada da atividade, com a recuperação do ambiente e ao mesmo tempo se adequando as medidas de biossegurança;;;;;;;;
90;Drought-heatwave nexus in Brazil and related impacts on health and fires: A comprehensive review;2022;"Libonati, Renata; Geirinhas, Joao L.; Silva, Patricia S.; dos Santos, Djacinto Monteiro; Rodrigues, Julia A.; Russo, Ana; Peres, Leonardo F.; Narcizo, Luiza; Gomes, Monique E. R.; Rodrigues, Andreza P.; DaCamara, Carlos C.; Pereira, Jose Miguel C.; Trigo, Ricardo M.";Brasileira;UFRJ;RJ;ANNALS OF THE NEW YORK ACADEMY OF SCIENCES;5.167;1;;"compound events; droughts; fires; health; heatwaves";;biomas;-;não;sim;não;não;sensoriamento remoto e dados secundários;This work paves the way for a more in-depth understanding on CDHW events and their impacts, which is crucial to enhance the adaptive capacity of different Brazilian sectors.;;;;;;;;
91;Reconciling biome-wide conservation of an apex carnivore with land-use economics in the increasingly threatened Pantanal wetlands;2021;"Tortato, Fernando R.; Hoogesteijn, Rafael; Devlin, Allison L.; Quigley, Howard B.; Bolzan, Fabio; Izzo, Thiago J.; Ferraz, Katia M. P. M. B.; Peres, Carlos A.";Brasileira;Panthera;USA;SCIENTIFIC REPORTS;4.996;1;;;bioma;-;jaguar;não;sim;não;não;sensoriamento remoto e dados secundários;JDM indicate that 64% of the Pantanal holds suitable habitat for jaguars. However, jaguar habitat suitability was positively correlated with ecotourism, but negatively correlated with areas most suitable for intensive cattle?ranching. This demonstrates a biome?wide scenario compatible with jaguar conservation. Of particular concern, recent wildfires overlap most suitable areas for jaguars. If wildfires become increasingly frequent, this would represent a serious threat to jaguars and many other wildlife populations. We emphasize the global importance of the Pantanal wetland ecoregion as a key stronghold for long?term jaguar conservation.;;;;;;;;
92;Fire and vegetation: Introduction to the special issue;2022;"Silveira, Fernando A. O.; Rossatto, Davi R.; Heilmeier, Hermann; Overbeck, Gerhard E.";brasileira;UFMG;MG;Flora;2.220;1;;"Cerrado; Fire management; Grassland; Pantanal; Plant functional traits; Plant morpho-physiology; Plant regeneration; Species composition";-;-;-;não;não;não;sim;opinião, chamada para artigos na revista;Our expectation is that the Special Issue stimulates further research and, ultimately, helps to inform fire management practice to improve human well-being, to ensure the sustainability of resource use, and perhaps most important, biodiversity conservation and climate change mitigation;;;;;;;;
93;Feedback in tropical forests of the Anthropocene;2022;"Flores, Bernardo M.; Staal, Arie";brasileira;UFSC;SC;GLOBAL CHANGE BIOLOGY;10.863;1;;"Amazon forest; Anthropocene; climate change; Congo forest; resilience; Social-ecological systems; Southeast Asian forests";biomas;-;-;não;sim;não;não;dados secundários, de revisão avaliando a interação de fatores bióticos e abióticos;"We illustrate our findings with three cases involving urgent sustainability issues: (1) wildfires in wetlands of South America; (2) forest encroachment in African savanna landscapes; and (3) syn-ergistic threats to the peatland forests of Borneo. Our findings reveal an unexplored world of feedbacks that shape the dynamics of tropical forests. The interactions and feedbacks identified here can guide future qualitative and quantitative research on the complexities of tropical forests, allowing societies to manage the nonlinear responses of these ecosystems in the Anthropocene";;;;;;;;
94;AUTOMATIC DETECTION OF BURNED AREAS IN WETLANDS BY REMOTE SENSING MULTITEMPORAL IMAGES;2013;"Zanotta, Daniel Capella; Zani, Hiran; Shimabukuro, Yosio Edemir";brasileira;INPE;SP;2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS);;1;;"Optical imagery; Land surface change; Pattern recognition";cena landsat 227/72;-;-;não;não;sim;não;sensoriamento remoto;results support that a Bayesian classification followed by the exclusion of water bodies and the addition of spatial context information by morphological operators were effective to detect the burned areas in the study area.;;;;;;;;
95;Discursive resignification in different contexts: popular linguistics and ludolinguistics;2021;"Baronas, Roberto Leiser; Costa, Julia Lourenco; Bonani Conti, Tamires Cristina";brasileira;UFSCar;SP;REVISTA DA ANPOLL;;1;A2;"Discourse; Resignification; Popular Linguistics";bioma;-;-;não;não;sim;não;análise de notícias e discursos;Entendemos com base nas análises que a ressignificação discursiva, especialmente a humorística, pode se tornar numa importante ferramenta de combate aos discursos de ódio, que circulam atualmente na nossa sociedade e que cristalizam as mais variadas relações de poder.;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
